histology,behavior,preferred,description
8000,0,1,"Neoplasm, benign"
8000,0,0,"Tumor, benign"
8000,0,0,"Tumor, benign, unclassified"
8000,0,0,"Tumor, unclassified, benign"
8000,0,0,"Unclassified tumor, benign"
8000,1,1,"Neoplasm, uncertain whether benign or malignant"
8000,1,0,"Neoplasm, NOS"
8000,1,0,"Tumor, NOS"
8000,1,0,"Tumor, unclassified, borderline malignancy"
8000,1,0,"Tumor, unclassified, uncertain whether benign or malignant"
8000,1,0,"Unclassified tumor, borderline malignancy"
8000,1,0,"Unclassified tumor, uncertain whether benign or malignant"
8000,3,1,"Neoplasm, malignant"
8000,3,0,"Blastoma, NOS"
8000,3,0,"Cancer [see coding guidelines, page 27 of ICD-O-3 manual]"
8000,3,0,Malignancy
8000,3,0,"Tumor, malignant, NOS"
8000,3,0,"Tumor, malignant, unclassified"
8000,3,0,"Tumor, unclassified, malignant"
8000,3,0,"Unclassified tumor, malignant"
8000,6,1,"Neoplasm, metastatic"
8000,6,0,"Embolus, tumor"
8000,6,0,Metastatic neoplasm
8000,6,0,Metastatic tumor
8000,6,0,"Neoplasm, secondary"
8000,6,0,Secondary neoplasm
8000,6,0,Secondary tumor
8000,6,0,Tumor embolus
8000,6,0,"Tumor, metastatic"
8000,6,0,"Tumor, secondary"
8000,9,1,"Neoplasm, malignant, uncertain whether primary or metastatic"
8000,9,0,"Tumor, malignant, unclassified, uncertain whether primary or metastatic"
8000,9,0,"Tumor, unclassified, malignant, uncertain whether primary or metastatic"
8000,9,0,"Unclassified tumor, malignant, uncertain whether primary or metastatic"
8001,0,1,"Tumor cells, benign"
8001,1,1,"Tumor cells, uncertain whether benign or malignant"
8001,1,0,"Tumor cells, NOS"
8001,3,1,"Tumor cells, malignant"
8002,3,1,"Malignant tumor, small cell type"
8002,3,0,"Small cell type, malignant tumor"
8002,3,0,"Tumor, malignant, small cell type"
8002,3,0,"Tumor, small cell type, malignant"
8003,3,1,"Malignant tumor, giant cell type"
8003,3,0,"Giant cell type, malignant tumor"
8003,3,0,"Tumor, giant cell type, malignant"
8003,3,0,"Tumor, malignant, giant cell type"
8004,3,1,"Malignant tumor, spindle cell type"
8004,3,0,"Fusiform cell type, malignant tumor"
8004,3,0,"Malignant tumor, fusiform cell type"
8004,3,0,"Spindle cell type, malignant tumor"
8004,3,0,"Tumor, fusiform cell type, malignant"
8004,3,0,"Tumor, malignant, fusiform cell type"
8004,3,0,"Tumor, malignant, spindle cell type"
8004,3,0,"Tumor, spindle cell type, malignant"
8005,0,1,"Clear cell tumor, NOS"
8005,0,0,"Tumor, clear cell, NOS"
8005,3,1,"Malignant tumor, clear cell type"
8005,3,0,Clear cell type malignant tumor
8005,3,0,"Tumor, clear cell type, malignant"
8005,3,0,"Tumor, malignant, clear cell type"
8010,0,1,"Epithelial tumor, benign"
8010,0,0,"Tumor, epithelial, benign"
8010,2,1,"Carcinoma in situ, NOS"
8010,2,0,"Carcinoma, intraepithelial, NOS"
8010,2,0,"In situ carcinoma, NOS"
8010,2,0,"Intraepithelial carcinoma, NOS"
8010,3,1,"Carcinoma, NOS"
8010,3,0,"Carcinoma, urachal (C65.9, C66.9, C67._, C68._) [2018+]"
8010,3,0,"Epithelial tumor, malignant"
8010,3,0,"Tumor, epithelial, malignant"
8010,3,0,"Urachal carcinoma (C65.9, C66.9, C67._, C68._) [2018+]"
8010,6,1,"Carcinoma, metastatic, NOS"
8010,6,0,"Carcinoma, NOS, metastatic"
8010,6,0,"Carcinoma, secondary"
8010,6,0,"Metastatic carcinoma, NOS"
8010,6,0,Secondary carcinoma
8010,9,1,Carcinomatosis
8011,0,1,"Epithelioma, benign"
8011,3,1,"Epithelioma, malignant"
8011,3,0,"Epithelioma, NOS"
8012,3,1,"Large cell carcinoma, NOS"
8012,3,0,"Carcinoma, large cell, NOS"
8013,3,1,Large cell neuroendocrine carcinoma
8013,3,0,"Carcinoma, combined large cell neuroendocrine (C34._, C37.9) [2018+]"
8013,3,0,"Carcinoma, large cell neuroendocrine combined (C34._, C37.9) [2018+]"
8013,3,0,"Carcinoma, large cell, neuroendocrine"
8013,3,0,"Carcinoma, neuroendocrine, large cell"
8013,3,0,"Carcinoma, neuroendocrine, large cell combined (C34._, C37.9) [2018+]"
8013,3,0,"Combined large cell neuroendocrine carcinoma (C34._, C37.9) [2018+]"
8013,3,0,"Large cell carcinoma, neuroendocrine"
8013,3,0,"Large cell carcinoma, neuroendocrine combined (C34._, C37.9) [2018+]"
8013,3,0,"Neuroendocrine carcinoma, combined large cell (C34._, C37.9) [2018+]"
8013,3,0,"Neuroendocrine carcinoma, large cell"
8014,3,1,Large cell carcinoma with rhabdoid phenotype
8014,3,0,"Carcinoma, large cell, with rhabdoid phenotype"
8014,3,0,"Phenotype, large cell carcinoma with rhabdoid"
8014,3,0,"Rhabdoid phenotype, large cell carcinoma with"
8015,3,1,Glassy cell carcinoma
8015,3,0,"Carcinoma, glassy cell"
8020,3,1,"Carcinoma, undifferentiated, NOS"
8020,3,0,Anaplastic undifferentiated carcinoma (C73.9) [2021+]
8020,3,0,"Carcinoma, anaplastic undifferentiated (C73.9) [2021+]"
8020,3,0,"Carcinoma, dedifferentiated [2021+]"
8020,3,0,"Carcinoma, poorly differentiated, NOS [2021+]"
8020,3,0,Dedifferentiated carcinoma [2021+]
8020,3,0,"Poorly differentiated carcinoma, NOS [2021+]"
8020,3,0,"Undifferentiated carcinoma, NOS"
8021,3,1,"Carcinoma, anaplastic, NOS"
8021,3,0,"Anaplastic carcinoma, NOS"
8022,3,1,Pleomorphic carcinoma
8022,3,0,"Carcinoma, pleomorphic"
8023,3,1,Nuclear protein in testis (NUT)-associated carcinoma 
8023,3,0,"Carcinoma, midline, of children and young adults with NUT rearrangement (C30.0, C31.9, C34._) [2018+]"
8023,3,0,"Carcinoma, NUT (C30.0, C31.9, C34._) [2018+]"
8023,3,0,"Carcinoma, NUT midline (C30.0, C31.9, C34._) [2018+]"
8023,3,0,"Midline carcinoma of children and young adults with NUT rearrangement (C30.0, C31.9, C34._) [2018+]"
8023,3,0,"NUT carcinoma (C30.0, C31.9, C34._) [2018+]"
8023,3,0,"NUT midline (C30.0, C31.9, C34._) [2018+]"
8030,3,1,Giant cell and spindle cell carcinoma
8030,3,0,"Carcinoma, giant cell and spindle cell"
8030,3,0,"Carcinoma, spindle cell and giant cell"
8030,3,0,Spindle cell carcinoma and giant cell carcinoma
8031,3,1,Giant cell carcinoma
8031,3,0,"Carcinoma, giant cell"
8032,3,1,"Spindle cell carcinoma, NOS"
8032,3,0,"Carcinoma, spindle cell, NOS"
8033,3,1,Pseudosarcomatous carcinoma
8033,3,0,Carcinoma with sarcomatoid component [2022+]
8033,3,0,"Carcinoma, pseudosarcomatous"
8033,3,0,"Carcinoma, sarcomatoid"
8033,3,0,Sarcomatoid carcinoma
8033,3,0,"Sarcomatoid component, carcinoma with [2022+]"
8034,3,1,Polygonal cell carcinoma
8034,3,0,"Carcinoma, polygonal cell"
8035,3,1,Carcinoma with osteoclast-like giant cells
8035,3,0,"Giant cells, carcinoma with osteoclast-like"
8035,3,0,"Osteoclast-like giant cells, carcinoma with"
8040,0,1,"Tumorlet, benign"
8040,1,1,"Tumorlet, NOS"
8041,3,1,"Small cell carcinoma, NOS"
8041,3,0,"Carcinoma, neuroendocrine, high grade (C54._, C55.9) [2018+]"
