icd10_code,icd10_desc,icdo4_code,icdo4_desc
C22.0,Liver cell carcinoma,80001/3,"Hepatocellular neoplasm, NOS"
C30.0,Malignant neoplasm of nasal cavity,80200/3,Sinonasal undifferentiated carcinoma
C30.1,Malignant neoplasm of middle ear,80200/3,Sinonasal undifferentiated carcinoma
C31.0,Malignant neoplasm of maxillary sinus,80200/3,Sinonasal undifferentiated carcinoma
C31.1,Malignant neoplasm of ethmoidal sinus,80200/3,Sinonasal undifferentiated carcinoma
C31.2,Malignant neoplasm of frontal sinus,80200/3,Sinonasal undifferentiated carcinoma
C31.3,Malignant neoplasm of sphenoid sinus,80200/3,Sinonasal undifferentiated carcinoma
C31.8,Malignant neoplasm of overlapping sites of accessory sinuses,80200/3,Sinonasal undifferentiated carcinoma
C31.9,"Malignant neoplasm of accessory sinus, unspecified",80200/3,Sinonasal undifferentiated carcinoma
C44.0,Other and unspecified malignant neoplasm of skin of lip,80230/3,"Carcinoma, NUT adnexal"
C44.00,Unspecified malignant neoplasm of skin of lip,80230/3,"Carcinoma, NUT adnexal"
C44.01,Basal cell carcinoma of skin of lip,80230/3,"Carcinoma, NUT adnexal"
C44.02,Squamous cell carcinoma of skin of lip,80230/3,"Carcinoma, NUT adnexal"
C44.09,Other specified malignant neoplasm of skin of lip,80230/3,"Carcinoma, NUT adnexal"
C44.1,"Other and unspecified malignant neoplasm of skin of eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.10,"Unspecified malignant neoplasm of skin of eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.101,"Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.102,"Unspecified malignant neoplasm of skin of right eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1021,"Unspecified malignant neoplasm of skin of right upper eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1022,"Unspecified malignant neoplasm of skin of right lower eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.109,"Unspecified malignant neoplasm of skin of left eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1091,"Unspecified malignant neoplasm of skin of left upper eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1092,"Unspecified malignant neoplasm of skin of left lower eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.11,"Basal cell carcinoma of skin of eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.111,"Basal cell carcinoma of skin of unspecified eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.112,"Basal cell carcinoma of skin of right eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1121,"Basal cell carcinoma of skin of right upper eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1122,"Basal cell carcinoma of skin of right lower eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.119,"Basal cell carcinoma of skin of left eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1191,"Basal cell carcinoma of skin of left upper eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1192,"Basal cell carcinoma of skin of left lower eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.12,"Squamous cell carcinoma of skin of eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.121,"Squamous cell carcinoma of skin of unspecified eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.122,"Squamous cell carcinoma of skin of right eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1221,"Squamous cell carcinoma of skin of right upper eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1222,"Squamous cell carcinoma of skin of right lower eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.129,"Squamous cell carcinoma of skin of left eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1291,"Squamous cell carcinoma of skin of left upper eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1292,"Squamous cell carcinoma of skin of left lower eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.13,"Sebaceous cell carcinoma of skin of eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.131,"Sebaceous cell carcinoma of skin of unspecified eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.132,"Sebaceous cell carcinoma of skin of right eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1321,"Sebaceous cell carcinoma of skin of right upper eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1322,"Sebaceous cell carcinoma of skin of right lower eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.139,"Sebaceous cell carcinoma of skin of left eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1391,"Sebaceous cell carcinoma of skin of left upper eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1392,"Sebaceous cell carcinoma of skin of left lower eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.19,"Other specified malignant neoplasm of skin of eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.191,"Other specified malignant neoplasm of skin of unspecified eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.192,"Other specified malignant neoplasm of skin of right eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1921,"Other specified malignant neoplasm of skin of right upper eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1922,"Other specified malignant neoplasm of skin of right lower eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.199,"Other specified malignant neoplasm of skin of left eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1991,"Other specified malignant neoplasm of skin of left upper eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.1992,"Other specified malignant neoplasm of skin of left lower eyelid, including canthus",80230/3,"Carcinoma, NUT adnexal"
C44.2,Other and unspecified malignant neoplasm of skin of ear and external auricular canal,80230/3,"Carcinoma, NUT adnexal"
C44.20,Unspecified malignant neoplasm of skin of ear and external auricular canal,80230/3,"Carcinoma, NUT adnexal"
C44.201,Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal,80230/3,"Carcinoma, NUT adnexal"
C44.202,Unspecified malignant neoplasm of skin of right ear and external auricular canal,80230/3,"Carcinoma, NUT adnexal"
C44.209,Unspecified malignant neoplasm of skin of left ear and external auricular canal,80230/3,"Carcinoma, NUT adnexal"
C44.21,Basal cell carcinoma of skin of ear and external auricular canal,80230/3,"Carcinoma, NUT adnexal"
C44.211,Basal cell carcinoma of skin of unspecified ear and external auricular canal,80230/3,"Carcinoma, NUT adnexal"
C44.212,Basal cell carcinoma of skin of right ear and external auricular canal,80230/3,"Carcinoma, NUT adnexal"
C44.219,Basal cell carcinoma of skin of left ear and external auricular canal,80230/3,"Carcinoma, NUT adnexal"
C44.22,Squamous cell carcinoma of skin of ear and external auricular canal,80230/3,"Carcinoma, NUT adnexal"
C44.221,Squamous cell carcinoma of skin of unspecified ear and external auricular canal,80230/3,"Carcinoma, NUT adnexal"
C44.222,Squamous cell carcinoma of skin of right ear and external auricular canal,80230/3,"Carcinoma, NUT adnexal"
C44.229,Squamous cell carcinoma of skin of left ear and external auricular canal,80230/3,"Carcinoma, NUT adnexal"
C44.29,Other specified malignant neoplasm of skin of ear and external auricular canal,80230/3,"Carcinoma, NUT adnexal"
C44.291,Other specified malignant neoplasm of skin of unspecified ear and external auricular canal,80230/3,"Carcinoma, NUT adnexal"
C44.292,Other specified malignant neoplasm of skin of right ear and external auricular canal,80230/3,"Carcinoma, NUT adnexal"
C44.299,Other specified malignant neoplasm of skin of left ear and external auricular canal,80230/3,"Carcinoma, NUT adnexal"
C44.3,Other and unspecified malignant neoplasm of skin of other and unspecified parts of face,80230/3,"Carcinoma, NUT adnexal"
C44.30,Unspecified malignant neoplasm of skin of other and unspecified parts of face,80230/3,"Carcinoma, NUT adnexal"
C44.300,Unspecified malignant neoplasm of skin of unspecified part of face,80230/3,"Carcinoma, NUT adnexal"
C44.301,Unspecified malignant neoplasm of skin of nose,80230/3,"Carcinoma, NUT adnexal"
C44.309,Unspecified malignant neoplasm of skin of other parts of face,80230/3,"Carcinoma, NUT adnexal"
C44.31,Basal cell carcinoma of skin of other and unspecified parts of face,80230/3,"Carcinoma, NUT adnexal"
C44.310,Basal cell carcinoma of skin of unspecified parts of face,80230/3,"Carcinoma, NUT adnexal"
C44.311,Basal cell carcinoma of skin of nose,80230/3,"Carcinoma, NUT adnexal"
C44.319,Basal cell carcinoma of skin of other parts of face,80230/3,"Carcinoma, NUT adnexal"
C44.32,Squamous cell carcinoma of skin of other and unspecified parts of face,80230/3,"Carcinoma, NUT adnexal"
C44.320,Squamous cell carcinoma of skin of unspecified parts of face,80230/3,"Carcinoma, NUT adnexal"
C44.321,Squamous cell carcinoma of skin of nose,80230/3,"Carcinoma, NUT adnexal"
C44.329,Squamous cell carcinoma of skin of other parts of face,80230/3,"Carcinoma, NUT adnexal"
C44.39,Other specified malignant neoplasm of skin of other and unspecified parts of face,80230/3,"Carcinoma, NUT adnexal"
C44.390,Other specified malignant neoplasm of skin of unspecified parts of face,80230/3,"Carcinoma, NUT adnexal"
C44.391,Other specified malignant neoplasm of skin of nose,80230/3,"Carcinoma, NUT adnexal"
C44.399,Other specified malignant neoplasm of skin of other parts of face,80230/3,"Carcinoma, NUT adnexal"
C44.4,Other and unspecified malignant neoplasm of skin of scalp and neck,80230/3,"Carcinoma, NUT adnexal"
C44.40,Unspecified malignant neoplasm of skin of scalp and neck,80230/3,"Carcinoma, NUT adnexal"
C44.41,Basal cell carcinoma of skin of scalp and neck,80230/3,"Carcinoma, NUT adnexal"
C44.42,Squamous cell carcinoma of skin of scalp and neck,80230/3,"Carcinoma, NUT adnexal"
C44.49,Other specified malignant neoplasm of skin of scalp and neck,80230/3,"Carcinoma, NUT adnexal"
C44.5,Other and unspecified malignant neoplasm of skin of trunk,80230/3,"Carcinoma, NUT adnexal"
C44.50,Unspecified malignant neoplasm of skin of trunk,80230/3,"Carcinoma, NUT adnexal"
C44.500,Unspecified malignant neoplasm of anal skin,80230/3,"Carcinoma, NUT adnexal"
C44.501,Unspecified malignant neoplasm of skin of breast,80230/3,"Carcinoma, NUT adnexal"
C44.509,Unspecified malignant neoplasm of skin of other part of trunk,80230/3,"Carcinoma, NUT adnexal"
C44.51,Basal cell carcinoma of skin of trunk,80230/3,"Carcinoma, NUT adnexal"
C44.510,Basal cell carcinoma of anal skin,80230/3,"Carcinoma, NUT adnexal"
C44.511,Basal cell carcinoma of skin of breast,80230/3,"Carcinoma, NUT adnexal"
C44.519,Basal cell carcinoma of skin of other part of trunk,80230/3,"Carcinoma, NUT adnexal"
C44.52,Squamous cell carcinoma of skin of trunk,80230/3,"Carcinoma, NUT adnexal"
C44.520,Squamous cell carcinoma of anal skin,80230/3,"Carcinoma, NUT adnexal"
C44.521,Squamous cell carcinoma of skin of breast,80230/3,"Carcinoma, NUT adnexal"
C44.529,Squamous cell carcinoma of skin of other part of trunk,80230/3,"Carcinoma, NUT adnexal"
C44.59,Other specified malignant neoplasm of skin of trunk,80230/3,"Carcinoma, NUT adnexal"
C44.590,Other specified malignant neoplasm of anal skin,80230/3,"Carcinoma, NUT adnexal"
C44.591,Other specified malignant neoplasm of skin of breast,80230/3,"Carcinoma, NUT adnexal"
C44.599,Other specified malignant neoplasm of skin of other part of trunk,80230/3,"Carcinoma, NUT adnexal"
C44.6,"Other and unspecified malignant neoplasm of skin of upper limb, including shoulder",80230/3,"Carcinoma, NUT adnexal"
C44.60,"Unspecified malignant neoplasm of skin of upper limb, including shoulder",80230/3,"Carcinoma, NUT adnexal"
C44.601,"Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder",80230/3,"Carcinoma, NUT adnexal"
C44.602,"Unspecified malignant neoplasm of skin of right upper limb, including shoulder",80230/3,"Carcinoma, NUT adnexal"
C44.609,"Unspecified malignant neoplasm of skin of left upper limb, including shoulder",80230/3,"Carcinoma, NUT adnexal"
