code,level,preferred,term,codeReference,obs,seeAlso,excludes,other,description
80000/0,Preferred,1,"Neoplasm, benign",,,,,,"Neoplasm, benign"
80000/0,Synonym,0,"Tumour, benign",,,,,,"Tumour, benign"
80000/0,Synonym,0,"Unclassified tumour, benign",,,,,,"Unclassified tumour, benign"
80000/1,Preferred,1,"Neoplasm, uncertain whether benign or malignant",,,,,,"Neoplasm, uncertain whether benign or malignant"
80000/1,Synonym,0,"Neoplasm, NOS",,,,,,"Neoplasm, NOS"
80000/1,Synonym,0,"Tumour, NOS",,,,,,"Tumour, NOS"
80000/1,Synonym,0,"Unclassified tumour, borderline malignancy",,,,,,"Unclassified tumour, borderline malignancy"
80000/1,Synonym,0,"Unclassified tumour, uncertain whether benign or malignant",,,,,,"Unclassified tumour, uncertain whether benign or malignant"
80000/3,Preferred,1,"Neoplasm, malignant, NOS",,,,,,"Neoplasm, malignant, NOS"
80000/3,Synonym,0,"Blastoma, NOS",,,,,,"Blastoma, NOS"
80000/3,Synonym,0,"Tumour, malignant, NOS",,,,,,"Tumour, malignant, NOS"
80000/3,Synonym,0,Cancer,,,,,,Cancer
80000/3,Synonym,0,Malignancy,,,,,,Malignancy
80000/3,Synonym,0,"Unclassified tumour, malignant, NOS",,,,,,"Unclassified tumour, malignant, NOS"
80001/3,Preferred,1,"Hepatocellular neoplasm, NOS",C22.0,,,,,"Hepatocellular neoplasm, NOS (C22.0)"
80000/6,Preferred,1,"Neoplasm, metastatic",,,,,,"Neoplasm, metastatic"
80000/6,Synonym,0,"Neoplasm, secondary",,,,,,"Neoplasm, secondary"
80000/6,Synonym,0,Tumour embolus,,,,,,Tumour embolus
80000/6,Synonym,0,"Tumour, metastatic",,,,,,"Tumour, metastatic"
80000/6,Synonym,0,"Tumour, secondary",,,,,,"Tumour, secondary"
80000/9,Preferred,1,"Neoplasm, malignant, uncertain whether primary or metastatic",,,,,,"Neoplasm, malignant, uncertain whether primary or metastatic"
80000/9,Synonym,0,"Unclassified tumour, malignant, uncertain whether primary or metastatic",,,,,,"Unclassified tumour, malignant, uncertain whether primary or metastatic"
80010/0,Preferred,1,"Tumour cells, benign",,,,,,"Tumour cells, benign"
80010/1,Preferred,1,"Tumour cells, uncertain whether benign or malignant",,,,,,"Tumour cells, uncertain whether benign or malignant"
80010/1,Synonym,0,"Tumour cells, NOS",,,,,,"Tumour cells, NOS"
80010/3,Preferred,1,"Tumour cells, malignant",,,,,,"Tumour cells, malignant"
80020/3,Preferred,1,"Malignant tumour, small cell type",,,,,,"Malignant tumour, small cell type"
80030/3,Preferred,1,"Malignant tumour, giant cell type",,,,,,"Malignant tumour, giant cell type"
80040/1,Preferred,1,Spindle cell tumour of uncertain malignant potential,,,,,,Spindle cell tumour of uncertain malignant potential
80040/3,Preferred,1,"Malignant tumour, spindle cell type",,,,,,"Malignant tumour, spindle cell type"
80040/3,Synonym,0,"Malignant tumour, fusiform cell type",,,,,,"Malignant tumour, fusiform cell type"
80050/0,Preferred,1,"Clear cell tumour, NOS",,,,,,"Clear cell tumour, NOS"
80050/3,Preferred,1,"Malignant tumour, clear cell type",,,,,,"Malignant tumour, clear cell type"
80100/0,Preferred,1,"Epithelial tumour, benign",,,,,,"Epithelial tumour, benign"
80100/2,Preferred,1,"Carcinoma in situ, NOS",,,,,,"Carcinoma in situ, NOS"
80100/2,Synonym,0,"Intraepithelial carcinoma, NOS",,,,,,"Intraepithelial carcinoma, NOS"
80100/3,Preferred,1,"Carcinoma, NOS",,,,(excludes of salivary gland M-8140F/3; excludes of gallbladder M-81400/3; excludes of Skene glands M-81406/3; excludes of Cowper glands M-81407/3; excludes of Littré glands M-81407/3),,"Carcinoma, NOS (excludes of salivary gland M-8140F/3; excludes of gallbladder M-81400/3; excludes of Skene glands M-81406/3; excludes of Cowper glands M-81407/3; excludes of Littré glands M-81407/3)"
80100/3,Synonym,0,"Epithelial tumour, malignant",,,,,,"Epithelial tumour, malignant"
80101/3,Preferred,1,Heterotopia-associated carcinoma,,,,,,Heterotopia-associated carcinoma
80100/6,Preferred,1,"Carcinoma, metastatic, NOS",,,,,,"Carcinoma, metastatic, NOS"
80100/6,Synonym,0,Secondary carcinoma,,,,,,Secondary carcinoma
80100/9,Preferred,1,Carcinomatosis,,,,,,Carcinomatosis
80110/0,Preferred,1,"Epithelioma, benign",,[obs],,,,"Epithelioma, benign [obs]"
80110/3,Preferred,1,"Epithelioma, malignant",,[obs],,,,"Epithelioma, malignant [obs]"
80110/3,Synonym,0,"Epithelioma, NOS",,[obs],,,,"Epithelioma, NOS [obs]"
80120/3,Preferred,1,"Large cell carcinoma, NOS",,,,,,"Large cell carcinoma, NOS"
80130/3,Preferred,1,"Large cell neuroendocrine carcinoma, NOS",,,,,,"Large cell neuroendocrine carcinoma, NOS"
80130/3,Synonym,0,"Neuroendocrine carcinoma, large cell type",,,,,,"Neuroendocrine carcinoma, large cell type"
80130/3,Synonym,0,"Poorly differentiated neuroendocrine carcinoma, large cell type",,,,,,"Poorly differentiated neuroendocrine carcinoma, large cell type"
80131/3,Preferred,1,Combined large cell neuroendocrine carcinoma,,,,,,Combined large cell neuroendocrine carcinoma
80140/3,Preferred,1,Large cell carcinoma with rhabdoid phenotype,,,,,,Large cell carcinoma with rhabdoid phenotype
80140/3,Synonym,0,Undifferentiated carcinoma with rhabdoid cells,,,,,,Undifferentiated carcinoma with rhabdoid cells
80140/3,Synonym,0,"Carcinoma, rhabdoid",,,,,,"Carcinoma, rhabdoid"
80150/3,Preferred,1,Glassy cell carcinoma,,[obs],,,,Glassy cell carcinoma [obs]
80200/3,Preferred,1,"Carcinoma, undifferentiated, NOS",,,,,,"Carcinoma, undifferentiated, NOS"
80200/3,Synonym,0,"Carcinoma, unclassifiable",,,,,,"Carcinoma, unclassifiable"
80200/3,Related,0,Sinonasal undifferentiated carcinoma,"C30._, C31._",,,,,"Sinonasal undifferentiated carcinoma (C30._, C31._)"
80201/3,Preferred,1,"Carcinoma, poorly differentiated, NOS",,,,,,"Carcinoma, poorly differentiated, NOS"
80202/3,Preferred,1,Anaplastic undifferentiated carcinoma,,,,,,Anaplastic undifferentiated carcinoma
80202/3,Related,0,Anaplastic thyroid carcinoma,C73.9,,,,,Anaplastic thyroid carcinoma (C73.9)
80202/3,Synonym,0,Undifferentiated thyroid carcinoma,C73.9,,,,,Undifferentiated thyroid carcinoma (C73.9)
80203/3,Preferred,1,Dedifferentiated carcinoma,,,,,,Dedifferentiated carcinoma
80204/3,Preferred,1,Poorly differentiated urothelial carcinoma,,,,,,Poorly differentiated urothelial carcinoma
80210/3,Preferred,1,"Carcinoma, anaplastic, NOS",,,,,,"Carcinoma, anaplastic, NOS"
80220/3,Preferred,1,"Pleomorphic carcinoma, NOS",,,,,,"Pleomorphic carcinoma, NOS"
80221/3,Preferred,1,"Carcinoma, pleomorphic giant cell",,,,,,"Carcinoma, pleomorphic giant cell"
80230/3,Preferred,1,Nuclear protein in testis (NUT)-associated carcinoma,,,,,,Nuclear protein in testis (NUT)-associated carcinoma
80230/3,Synonym,0,NUT carcinoma,,,,,,NUT carcinoma
80230/3,Related,0,NUT midline carcinoma,,,,,,NUT midline carcinoma
80230/3,Related,0,"Carcinoma, NUT adnexal",C44._,,,,,"Carcinoma, NUT adnexal (C44._)"
80300/3,Preferred,1,Giant cell and spindle cell carcinoma,,,,,,Giant cell and spindle cell carcinoma
80310/3,Preferred,1,"Giant cell carcinoma, NOS",,,,,,"Giant cell carcinoma, NOS"
80311/3,Preferred,1,Giant cell urothelial carcinoma,,,,,,Giant cell urothelial carcinoma
80320/3,Preferred,1,"Spindle cell carcinoma, NOS",,,,,,"Spindle cell carcinoma, NOS"
80330/3,Preferred,1,Pseudosarcomatous carcinoma,,,,,,Pseudosarcomatous carcinoma
80330/3,Synonym,0,Sarcomatoid carcinoma,,,,(excludes salivary gland M-80331/3),,Sarcomatoid carcinoma (excludes salivary gland M-80331/3)
80330/3,Synonym,0,Carcinoma with sarcomatoid component,,,,,,Carcinoma with sarcomatoid component
80330/3,Synonym,0,Carcinoma with mesenchymal differentiation,,,,,,Carcinoma with mesenchymal differentiation
80331/3,Preferred,1,"Salivary duct carcinoma, sarcomatoid","C07.9, C08._",,,,,"Salivary duct carcinoma, sarcomatoid (C07.9, C08._)"
80340/3,Preferred,1,Polygonal cell carcinoma,,[obs],,,,Polygonal cell carcinoma [obs]
80350/3,Preferred,1,Carcinoma with osteoclast-like giant cells,,,,,,Carcinoma with osteoclast-like giant cells
80351/3,Preferred,1,Squamous carcinoma with osteoclast-like giant cells,,,,,,Squamous carcinoma with osteoclast-like giant cells
80352/3,Preferred,1,Undifferentiated carcinoma with osteoclast-like giant cells,,,,,,Undifferentiated carcinoma with osteoclast-like giant cells
80352/3,Synonym,0,Osteoclastic giant cell carcinoma,,,,,,Osteoclastic giant cell carcinoma
80400/0,Preferred,1,"Tumourlet, benign",,,,,,"Tumourlet, benign"
80401/0,Preferred,1,Diffuse idiopathic neuroendocrine cell hyperplasia,,,,,,Diffuse idiopathic neuroendocrine cell hyperplasia
80400/1,Preferred,1,"Tumourlet, NOS",,,,,,"Tumourlet, NOS"
80410/3,Preferred,1,"Small cell carcinoma, NOS",,,,,,"Small cell carcinoma, NOS"
80410/3,Synonym,0,Reserve cell carcinoma,,,,,,Reserve cell carcinoma
80410/3,Synonym,0,Round cell carcinoma,,,,,,Round cell carcinoma
80410/3,Synonym,0,Small cell neuroendocrine carcinoma,,,,,,Small cell neuroendocrine carcinoma
80410/3,Synonym,0,"Poorly differentiated neuroendocrine carcinoma, small cell type",,,,,,"Poorly differentiated neuroendocrine carcinoma, small cell type"
80410/3,Synonym,0,"Small cell carcinoma, pulmonary type",,,,,,"Small cell carcinoma, pulmonary type"
80410/3,Synonym,0,"Neuroendocrine carcinoma, small cell type",,,,,,"Neuroendocrine carcinoma, small cell type"
80410/3,Synonym,0,Small cell undifferentiated carcinoma,,,,,,Small cell undifferentiated carcinoma
80410/3,Synonym,0,Oat cell carcinoma,C34._,[obs],,,,Oat cell carcinoma (C34._) [obs]
